fr, phonetique, arabe
Accepter, Qbel, قبل
Acheter, Shra, شْرَى
Aider, 3awen, عَاوْنْ
Apporter, Jab, جَابْ
Apprendre, T3ellem, تْعْلّمْ
Assister à, 7eder, حْضْرْ
Attendre, Tsenna, تْسْنّا
Avoir besoin, 7taj, حْتَاجْ
Blesser, Jre7, جْرْحْ
Boire, Shreb, شْرْبْ
Bouger, T7errek, تْحْرّكْ
Casser, Herres, هْرّسْ
Changer, Beddel, بْدّلْ
Chercher, Qelleb, قْلّبْ
Choisir, Khtar, خْتَارْ
Commencer, Bda, بْدَا
Comprendre, Fhem, فْهْمْ
Compter, 7seb, حْسْبْ
Conduire, Sag, صاڭ
Connaître, 3ref, عْرْفْ
Conseiller, Nse7, نْصح
Coudre, Khiyyet, خِيّطْ
Couper, Qte3, قْطْعْ
Courir, Jra, جْرَا
Craindre, Khaf, خَافْ
Crier, Ghewwet, غْوّتْ

